IDX,SHORT_Q,EW_5,EW_50,EW_95,EW_MEAN,COOKE_5,COOKE_50,COOKE_95,COOKE_MEAN,PARENT
1,"Next eruption, rhyolitic magma",1.9136010260012093,11.303373462058175,57.03470328688877,17.875366236957234,1.372270854223993,8.127773599892812,37.2123336053578,11.700165102204432,-2
2,"Next eruption, andesitic magma",40.970557268686285,87.81244715405664,98.04891323808637,81.39186399585881,49.372023691059624,90.46813467013105,98.63595729559118,84.74169471507108,-2
3,"Next eruption, rhyolitic magma, SubPlinian eruption",8.175656878596655,46.50769751202141,91.06608295302904,47.21058710237903,10.13150657041707,52.385443812721064,89.4371084019568,50.02527627827815,1
4,"Next eruption, rhyolitic magma, Plinian eruption",5.068690182875949,31.7878358761798,84.40490301255684,37.80357892427744,7.070428000903027,32.23571759196598,82.90331851158338,38.71054757954419,1
5,"Next eruption, rhyolitic magma, other eruption type",3.0291954770470517,12.142664074129481,74.10779343975923,21.489588370811106,3.1442408499537557,10.63137805045401,74.35300055721864,18.12367333163221,1
6,"Next eruption, andesitic magma, Hydrovolcanic/Continuos ash emission eruption",9.910407821650933,42.90670760600932,86.96238342433763,45.238630291074465,18.4184946622042,62.629157401369355,89.7355668109669,58.42673801839876,2
7,"Next eruption, andesitic magma, Violent Strombolian eruption",5.429338044118234,27.51838790314039,72.86197616156389,31.477098145491595,2.8527321268498196,19.856402357122136,65.41697719474097,25.66476294499087,2
8,"Next eruption, andesitic magma, SubPlinian eruption",3.570631019549985,18.001543993239608,65.77592274119444,22.8635268703173,2.538598567967534,12.652296019212798,42.11550420614992,16.345279413066358,2
9,"Next eruption, andesitic magma, Plinian eruption",0.9892055894332803,7.2694513289145535,51.22290822499449,13.282883767025359,0.7175874330836278,5.5624167566082345,27.702133208825785,8.504328177610915,2
10,"Next eruption, andesitic magma, other eruption type",1.2426884825254871,5.651993544316051,48.758472968418744,11.790075774407084,0.7618592057738972,4.773583837468788,36.142147685682914,9.628699906025295,2
11,"Next 100 years, rhyolitic magma",0.7080532858715922,16.46191078006663,65.178846671901,22.457470124524114,0.36076763767832515,18.132188097785672,61.139916286496025,22.842732586650904,-1
12,"Next 100 years, andesitic magma",40.794671191905444,82.77727888658757,97.63684353463465,78.3301761489082,38.56094699710446,83.86338130963206,98.00880344557316,78.04633837052786,-1
13,"Next 100 years, rhyolitic magma, SubPlinian eruption",5.097321295827429,49.70850982704152,91.19374384845764,49.4564554086234,10.565354243379957,48.55228089666358,85.62786467402904,48.43745197696395,11
14,"Next 100 years, rhyolitic magma, Plinian eruption",2.718933906202837,40.397455007885085,87.19357646813867,42.25005404722017,7.142670909672388,44.47172582500196,88.27983416908961,47.63682820721064,11
15,"Next 100 years, rhyolitic magma, other eruption type",1.7042976352263357,11.750443720880742,75.68330866031769,20.34022693185187,1.5319584619902458,9.90125788600868,68.180371593798,16.590627793451905,11
