time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,58,35,7,5
2025-03-05 00:00:00+00:00,28,20,20,4
2025-03-06 00:00:00+00:00,7,7,1,1
2025-03-07 00:00:00+00:00,65,32,34,8
2025-03-08 00:00:00+00:00,5,4,0,0
2025-03-09 00:00:00+00:00,6,4,5,1
2025-03-10 00:00:00+00:00,2,2,0,0
2025-03-11 00:00:00+00:00,3,2,0,0
2025-03-12 00:00:00+00:00,1,1,1,1
2025-03-13 00:00:00+00:00,5,2,0,0
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,5,2,0,0
2025-03-16 00:00:00+00:00,3,2,0,0
2025-03-17 00:00:00+00:00,6,3,0,0
2025-03-18 00:00:00+00:00,5,2,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-20 00:00:00+00:00,5,2,0,0
2025-03-21 00:00:00+00:00,3,3,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,4,1,0,0
